Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Government,Alberton Primary School,Primary,21 Thomson Street,Alberton,3971,03 5183 2412,681,Wellington ,Wellington City Council,146.666601,-38.617713
Government,Allansford and District Primary School,Primary,Frank Street,Allansford,3277,03 5565 1382,673,Warrnambool ,Warrnambool City Council,142.590393,-38.386281
Government,Avoca Primary School,Primary,118 Barnett Street,Avoca,3467,03 5465 3176,599,Pyrenees ,Pyrenees City Council,143.475649,-37.084502
Government,Avenel Primary School,Primary,40 Anderson Street,Avenel,3664,03 5796 2264,643,Strathbogie ,Strathbogie City Council,145.234722,-36.901368
Government,Warrandyte Primary School,Primary,5-11 Forbes Street,Warrandyte,3113,03 9844 3537,421,Manningham ,Manningham City Council,145.21398,-37.742675
Government,Belmont Primary School,Primary,51 Mt Pleasant Road,Belmont,3216,03 5243 2972,275,Greater Geelong ,Greater Geelong City Council,144.342099,-38.170672
Government,Bacchus Marsh Primary School,Primary,56-62 Lerderderg Street,Bacchus Marsh,3340,03 5367 2745,515,Moorabool ,Moorabool Shire Council,144.4431207,-37.67302961
Government,Ballarat Primary School (Dana Street),Primary,401 Dana Street,Ballarat,3350,03 5332 1301,57,Ballarat ,Ballarat City Council,143.853936,-37.56401278
Government,Wodonga Primary School,Primary,Brockley Street,Wodonga,3690,02 6048 0300,717,Wodonga ,Wodonga City Council,146.88982,-36.129214
Government,Berwick Primary School,Primary,37 Fairholme Boulevard,Berwick,3806,03 9707 1026,161,Casey ,Casey City Council,145.354417,-38.044094
Government,Beaufort Primary School,Primary,2/37 Park Road,Beaufort,3373,03 5349 2490,599,Pyrenees ,Pyrenees City Council,143.3817175,-37.43852098
Government,Cheltenham Primary School,Primary,231 Charman Road,Cheltenham,3192,03 8585 3200,91,Bayside ,Bayside City Council,145.054635,-37.968608
Government,Cudgee Primary School,Primary,3 Hallowells Road,Cudgee,3265,03 5567 6346,549,Moyne ,Moyne City Council,142.650844,-38.347938
Government,Newport Lakes Primary School,Primary,Elizabeth Street,Newport,3015,03 9391 8942,311,Hobsons Bay ,Hobsons Bay City Council,144.878345,-37.838424
Government,Cavendish Primary School,Primary,8-10 Barker Street,Cavendish,3314,03 5574 2282,626,Southern Grampians ,Southern Grampians City Council,142.039893,-37.53087
Government,Colac Primary School,Primary,53-65 Murray Street East,Colac,3250,03 5231 2560,175,Colac-Otway ,Colac-Otway City Council,143.598336,-38.337224
Government,Castlemaine Primary School,Primary,Cnr Mostyn & Urquhart Street,Castlemaine,3450,03 5472 1452,543,Mount Alexander ,Mount Alexander City Council,144.222329,-37.066595
Government,Campbells Creek Primary School,Primary,Main Road,Campbells Creek,3451,03 5472 2180,543,Mount Alexander ,Mount Alexander City Council,144.204662,-37.092935
Government,Creswick Primary School,Primary,67 Napier Street,Creswick,3363,03 5345 2044,291,Hepburn ,Hepburn City Council,143.8915581,-37.42411355
Government,California Gully Primary School,Primary,4-14 Staley Street,California Gully,3556,03 5446 8393,262,Greater Bendigo ,Greater Bendigo City Council,144.249857,-36.733207
Government,St Andrews Primary School,Primary,Caledonia Street,St Andrews,3761,03 9710 1255,571,Nillumbik ,Nillumbik Shire Council,145.269827,-37.602316
Government,Warrnambool West Primary School,Primary,35 Hoddle Street,Warrnambool,3280,03 5561 3161,673,Warrnambool ,Warrnambool City Council,142.466796,-38.366338
Government,Dromana Primary School,Primary,Mcculloch Street,Dromana,3936,03 5987 2367,534,Mornington Peninsula ,Mornington Peninsula City Council,144.959653,-38.339644
Government,Doncaster Primary School,Primary,2 - 12 Council Street,Doncaster,3108,03 9848 1122,421,Manningham ,Manningham City Council,145.129673,-37.786804
Government,Echuca Primary School,Primary,413-431 High Street,Echuca,3564,03 5483 0700,137,Campaspe ,Campaspe City Council,144.747463,-36.128198
Government,Eltham Primary School,Primary,Dalton Street,Eltham,3095,03 9439 9374,571,Nillumbik ,Nillumbik Shire Council,145.1478042,-37.72498353
Government,Eaglehawk Primary School,Primary,Church St,Eaglehawk,3556,03 5446 3722,262,Greater Bendigo ,Greater Bendigo City Council,144.254259,-36.720583
Government,Elphinstone Primary School,Primary,26 Wright Street,Elphinstone,3448,03 5473 3285,543,Mount Alexander ,Mount Alexander City Council,144.3329025,-37.10500363
Government,Hallam Primary School,Primary,24 Harmer Road,Hallam,3803,03 9703 1536,161,Casey ,Casey City Council,145.258244,-38.001759
Government,Flemington Primary School,Primary,Cnr Mt Alexander Rd & Padman Lane,Flemington,3031,03 9376 7137,506,Moonee Valley ,Moonee Valley City Council,144.933923,-37.780674
Government,Footscray Primary School,Primary,Cnr Geelong Road & Barkly St,Footscray,3011,03 9687 1910,433,Maribyrnong ,Maribyrnong City Council,144.892669,-37.798383
Government,Gisborne Primary School,Primary,35 Fisher Street,Gisborne,3437,03 5428 2022,413,Macedon Ranges ,Macedon Ranges Shire Council,144.5884416,-37.4908591
Government,Sandringham Primary School,Primary,17 Lansell Avenue,Sandringham,3191,03 9598 1488,91,Bayside ,Bayside City Council,145.02342,-37.951358
Government,Wandiligong Primary School,Primary,119 School Road,Wandiligong,3744,03 5755 1026,11,Alpine ,Alpine City Council,146.982923,-36.768862
Government,Grovedale Primary School,Primary,143 Bailey Street,Grovedale,3216,03 5243 3902,275,Greater Geelong ,Greater Geelong City Council,144.347756,-38.197643
Government,Hawthorn West Primary School,Primary,Cnr Wood Street & Burwood Road,Hawthorn,3122,03 9818 2233,111,Boroondara ,Boroondara City Council,145.018377,-37.820112
Government,Heidelberg Primary School,Primary,120 Cape Street,Heidelberg,3084,03 9457 2259,66,Banyule ,Banyule City Council,145.067799,-37.754705
Government,Hamilton (Gray Street) Primary School,Primary,42 Gray Street,Hamilton,3300,03 5571 9295,626,Southern Grampians ,Southern Grampians City Council,142.021384,-37.744914
Government,Heathcote Primary School,Primary,31 Herriot Street,Heathcote,3523,03 5433 3090,262,Greater Bendigo ,Greater Bendigo City Council,144.706851,-36.924012
Government,Highton Primary School,Primary,218 Roslyn Road,Highton,3216,03 5243 1494,275,Greater Geelong ,Greater Geelong City Council,144.317085,-38.172156
Government,Huntly Primary School,Primary,101 Brunel Street,Huntly,3551,03 5448 8866,262,Greater Bendigo ,Greater Bendigo City Council,144.334396,-36.662544
Government,Bellbrae Primary School,Primary,50 School Road,Bellbrae,3228,03 5261 2660,649,Surf Coast ,Surf Coast City Council,144.2630037,-38.33364403
Government,Chiltern Primary School,Primary,91-101 Albert Road,Chiltern,3683,03 5726 1421,335,Indigo ,Indigo City Council,146.606601,-36.147066
Government,Kyneton Primary School,Primary,49-79 Edgecombe Street,Kyneton,3444,03 5422 1855,413,Macedon Ranges ,Macedon Ranges Shire Council,144.462694,-37.248889
Government,Romsey Primary School,Primary,2-56 Station Street,Romsey,3434,03 5429 5099,413,Macedon Ranges ,Macedon Ranges Shire Council,144.7453792,-37.35417523
Government,Shelford Primary School,Primary,1717 Shelford-Bannockburn Road,Shelford,3329,03 5281 3291,249,Golden Plains ,Golden Plains City Council,143.9821391,-38.0139946
Government,Lockwood South Primary School,Primary,710 Calder Alternative Highway,Lockwood South,3551,03 5435 3293,262,Greater Bendigo ,Greater Bendigo City Council,144.156748,-36.841602
Government,Marong Primary School,Primary,2 Leslie Street,Marong,3515,03 5435 2288,262,Greater Bendigo ,Greater Bendigo City Council,144.135372,-36.735679
Government,Mount Macedon Primary School,Primary,641 Mount Macedon Road,Mount Macedon,3441,03 5426 1446,413,Macedon Ranges ,Macedon Ranges Shire Council,144.5841275,-37.40479379
Government,Mount Clear Primary School,Primary,1206 Geelong Road,Mount Clear,3350,03 5330 1844,57,Ballarat ,Ballarat City Council,143.868373,-37.604741
Government,Melton Primary School,Primary,Unitt Street,Melton,3337,03 9743 5335,465,Melton ,Melton City Council,144.587015,-37.680455
Government,Fitzroy Primary School,Primary,319 George Street,Fitzroy,3065,03 9417 4222,735,Yarra ,Yarra City Council,144.981511,-37.799603
Government,Newstead Primary School,Primary,28 Lyons Street,Newstead,3462,03 5476 2226,543,Mount Alexander ,Mount Alexander City Council,144.06719,-37.105917
Government,Newlyn Primary School,Primary,2701 Midland Highway,Newlyn,3364,03 5345 7222,291,Hepburn ,Hepburn City Council,143.9844266,-37.41202483
Government,Burwood East Primary School,Primary,Cnr Blackburn And Highbury Rds,Burwood East,3151,03 9802 8618,698,Whitehorse ,Whitehorse City Council,145.151807,-37.859734
Government,New Gisborne Primary School,Primary,239 Station Road,New Gisborne,3438,03 5428 2232,413,Macedon Ranges ,Macedon Ranges Shire Council,144.596579,-37.46288785
Government,Beeac Primary School,Primary,35 Lang Street,Beeac,3251,03 5234 6463,175,Colac-Otway ,Colac-Otway City Council,143.644279,-38.193973
Government,Essendon Primary School,Primary,38 Raleigh Street,Essendon,3040,03 9370 7816,506,Moonee Valley ,Moonee Valley City Council,144.921042,-37.753095
Government,Coburg Primary School,Primary,92 Bell Street,Coburg,3058,03 9354 9332,525,Moreland ,Moreland City Council,144.968211,-37.741303
Government,Penshurst Primary School,Primary,87 Ritchie Street,Penshurst,3289,03 5576 5433,626,Southern Grampians ,Southern Grampians City Council,142.291326,-37.879184
Government,Myrniong Primary School,Primary,13 Muddy Lane,Myrniong,3341,03 5368 7232,515,Moorabool ,Moorabool Shire Council,144.3463198,-37.61971733
Government,Mernda Primary School,Primary,25 Everton Drive,Mernda,3754,03 9717 7900,707,Whittlesea ,Whittlesea City Council,145.0922429,-37.59459504
Government,Portland Primary School,Primary,45 Palmer Street,Portland,3305,03 4505 3333,241,Glenelg ,Glenelg City Council,141.599408,-38.347295
Government,Stawell Primary School,Primary,14-28 Barnes Street,Stawell,3380,03 5358 1255,581,Northern Grampians ,Northern Grampians City Council,142.773775,-37.056128
Government,Rutherglen Primary School,Primary,44 Murray Street,Rutherglen,3685,02 6032 9428,335,Indigo ,Indigo City Council,146.460614,-36.056209
Government,Riddells Creek Primary School,Primary,69-77 Main Road,Riddells Creek,3431,03 5428 7277,413,Macedon Ranges ,Macedon Ranges Shire Council,144.6797752,-37.46122119
Government,Rokewood Primary School,Primary,38 Aitchison Street,Rokewood,3330,03 5346 1394,249,Golden Plains ,Golden Plains City Council,143.7228146,-37.90365609
Government,Geelong East Primary School,Primary,184 Boundary Road,Geelong East,3219,03 5248 4885,275,Greater Geelong ,Greater Geelong City Council,144.382769,-38.17551
Government,Sale Primary School,Primary,Macalister Street,Sale,3850,03 5144 5545,681,Wellington ,Wellington City Council,147.073643,-38.108303
Government,Skipton Primary School,Primary,7 Montgomery Street,Skipton,3361,03 5340 2002,183,Corangamite ,Corangamite City Council,143.368161,-37.686858
Government,South Yarra Primary School,Primary,601 Punt Road,South Yarra,3141,03 9866 3424,460,Melbourne ,Melbourne City Council,144.985619,-37.841353
Government,Stratford Primary School,Primary,14 Wellsford Street,Stratford,3862,03 5145 6554,681,Wellington ,Wellington City Council,147.085386,-37.967251
Government,Taradale Primary School,Primary,98 High Street,Taradale,3447,03 5423 2247,543,Mount Alexander ,Mount Alexander City Council,144.351063,-37.141313
Government,Koroit And District Primary School,Primary,91 Commercial Road,Koroit,3282,03 5565 8332,549,Moyne ,Moyne City Council,142.368702,-38.292441
Government,Tylden Primary School,Primary,11 Clowes Street,Tylden,3444,03 5424 8244,413,Macedon Ranges ,Macedon Ranges Shire Council,144.4087844,-37.32496764
