Suburb,Lat,Lng,Train Station Count
Abbotsford,-37.803,145.002,19
Airport West,-37.726234,144.8813526,1
Albert Park,-37.8438609,144.9514536,4
Alphington,-37.78,145.023,15
Altona,-37.8631512,144.8120218,3
Altona North,-37.8384763,144.847051,3
Armadale,-37.8554995,145.0206967,16
Ascot Vale,-37.77674440000001,144.9110705,12
Ashburton,-37.866944,145.083056,12
Ashwood,-37.867,145.103,10
Avondale Heights,-37.762,144.863,1
Balaclava,-37.873,144.993,10
Balwyn,-37.80888900000001,145.078889,9
Balwyn North,-37.7946578,145.0848683,2
Bentleigh,-37.9224386,145.0410079,8
Bentleigh East,-37.9211364,145.059135,8
Box Hill,-37.8181073,145.1238563,6
Braybrook,-37.7859028,144.8587417,6
Brighton,-37.9043383,144.9931825,5
Brighton East,-37.9158819,145.0179852,10
Brunswick,-37.7670374,144.9621035,15
Brunswick West,-37.75864809999999,144.9448586,14
Bulleen,-37.7671034,145.0926559,2
Burwood,-37.8494981,145.1090089,11
Camberwell,-37.8321474,145.0636941,15
Canterbury,-37.8242935,145.0829188,11
Carlton North,-37.788805,144.9719823,19
Carnegie,-37.8891994,145.0570577,15
Caulfield,-37.884,145.0266,15
Caulfield North,-37.8726442,145.0247002,16
Caulfield South,-37.891,145.026,13
Chadstone,-37.8810091,145.0959519,10
Clifton Hill,-37.7877787,145.0002125,14
Coburg,-37.7412988,144.9666108,11
Coburg North,-37.726,144.96,7
Collingwood,-37.8019,144.98815,20
Doncaster,-37.787397,145.1248634,0
Eaglemont,-37.7644773,145.0628446,6
Elsternwick,-37.8849536,145.0059691,11
Elwood,-37.8822486,144.9825759,7
Essendon,-37.7504821,144.9143187,5
Essendon North,-37.7383196,144.8992556,4
Fairfield,-37.7790074,145.0181267,13
Fitzroy,-37.801111,144.978889,19
Fitzroy North,-37.7832944,144.9838466,18
Flemington,-37.7833035,144.9277474,20
Footscray,-37.7988987,144.892357,11
Glen Iris,-37.8600246,145.0593297,17
Glenroy,-37.7062465,144.9161373,4
Gowanbrae,-37.7062908,144.8948907,4
Hadfield,-37.71,144.95,7
Hampton,-37.937,145.009,9
Hampton East,-37.939,145.031,10
Hawthorn,-37.8226005,145.0353696,13
Heidelberg Heights,-37.742,145.053,5
Heidelberg West,-37.744,145.047,5
Hughesdale,-37.8966159,145.0832264,10
Ivanhoe,-37.7703,145.0457,7
Kealba,-37.7327512,144.8238362,2
Keilor East,-37.741667,144.863056,0
Kensington,-37.7941207,144.9276659,17
Kew,-37.8074324,145.0288674,14
Kew East,-37.791629,145.0482331,5
Kooyong,-37.841944,145.035,18
Maidstone,-37.783,144.878,7
Malvern,-37.8572432,145.0341642,15
Malvern East,-37.8773116,145.059272,17
Maribyrnong,-37.7695602,144.8820803,3
Melbourne,-37.8123652,144.9623382,17
Middle Park,-37.851944,144.963056,7
Mont Albert,-37.816111,145.11,7
Moonee Ponds,-37.7665464,144.9195584,12
Moorabbin,-37.9418897,145.0601819,6
Newport,-37.842,144.884,6
Niddrie,-37.7392692,144.8864718,3
North Melbourne,-37.799167,144.946667,15
Northcote,-37.7692917,144.9990291,11
Oak Park,-37.718,144.919,4
Oakleigh South,-37.9255978,145.0951545,4
Parkville,-37.7787036,144.9426083,16
Pascoe Vale,-37.727,144.942,10
Port Melbourne,-37.8332233,144.9124697,6
Prahran,-37.852,144.998,14
Preston,-37.7431353,145.0081354,6
Reservoir,-37.7154505,145.0077433,4
Richmond,-37.823,144.998,19
Rosanna,-37.7409649,145.0683729,5
Seddon,-37.8055831,144.891002,10
South Melbourne,-37.835,144.96,14
South Yarra,-37.84,144.989,17
Southbank,-37.829,144.957,14
Spotswood,-37.8292454,144.8813515,8
St Kilda,-37.864,144.982,8
Strathmore,-37.7358112,144.9191456,4
Sunshine,-37.783657,144.8375652,5
Sunshine North,-37.7645428,144.8312453,5
Sunshine West,-37.7946685,144.818759,3
Surrey Hills,-37.82593809999999,145.0972417,10
Templestowe Lower,-37.765,145.114,0
Thornbury,-37.7587658,144.9933434,15
Toorak,-37.8416709,145.013845,19
Viewbank,-37.731,145.1,4
Watsonia,-37.708,145.083,2
West Melbourne,-37.8089044,144.9290625,13
Williamstown,-37.861,144.885,4
Williamstown North,-37.8517597,144.8689963,6
Windsor,-37.854,144.988,11
Yallambie,-37.726,145.104,3
Yarraville,-37.8202741,144.8821697,8
Aberfeldie,-37.762,144.901,8
Bellfield,-37.754,145.045,9
Brunswick East,-37.7673388,144.9802463,16
Burnley,-37.8296728,145.0126479,19
Campbellfield,-37.6672077,144.9549288,4
Carlton,-37.8001,144.9671,20
East Melbourne,-37.813,144.985,14
Essendon West,-37.755,144.883,2
Fawkner,-37.7072243,144.9669297,5
Hawthorn East,-37.8303331,145.047703,17
Heidelberg,-37.752695,145.0703364,6
Ivanhoe East,-37.772,145.066,6
Jacana,-37.687232,144.9128564,5
Kingsbury,-37.715,145.034,6
Kingsville,-37.809,144.878,9
Murrumbeena,-37.8978307,145.070895,14
Ormond,-37.902081,145.0410692,10
West Footscray,-37.8006709,144.8716645,7
Albion,-37.7755151,144.8154448,4
Brooklyn,-37.8173492,144.8465361,1
Glen Huntly,-37.8927437,145.0410692,12
Oakleigh,-37.8990236,145.0923305,11
Ripponlea,-37.8784934,144.9956077,10
Cremorne,-37.83,144.993,19
Docklands,-37.8190118,144.9465764,10
South Kingsville,-37.8300643,144.8703715,8
Strathmore Heights,-37.713,144.897,3
Travancore,-37.77800000000001,144.935,17
Caulfield East,-37.8791959,145.0444397,16
Seaholme,-37.86799999999999,144.841,3
Keilor Park,-37.7200817,144.8514577,0
Gardenvale,-37.899,145.007,11
Princes Hill,-37.784,144.966,20
Altona Meadows,-37.8715626,144.7775818,3
Ardeer,-37.7728857,144.8018125,6
Attwood,-37.666,144.887,2
Bayswater,-37.843,145.268,2
Bayswater North,-37.82700000000001,145.28,3
Beaumaris,-37.983,145.0434,4
Berwick,-38.0309443,145.3437469,2
Blackburn,-37.8197129,145.1530529,4
Blackburn South,-37.838,145.144,4
Boronia,-37.8626744,145.2856552,2
Briar Hill,-37.708,145.115,3
Broadmeadows,-37.68608690000001,144.9269889,6
Bundoora,-37.6947332,145.0602588,1
Burnside Heights,-37.727,144.76,2
Burwood East,-37.8526163,145.1519822,3
Cairnlea,-37.7578477,144.7913339,6
Caroline Springs,-37.745,144.74,1
Cheltenham,-37.9656436,145.0578515,5
Clarinda,-37.941,145.103,3
Clayton,-37.9145479,145.127492,4
Clyde North,-38.1062834,145.3484256,0
Craigieburn,-37.59400000000001,144.934,1
Cranbourne,-38.105,145.279,2
Croydon,-37.794384,145.2815432,3
Croydon Hills,-37.775,145.266,0
Croydon North,-37.767,145.287,1
Dandenong,-37.9847811,145.2139907,2
Dandenong North,-37.9592436,145.206837,2
Diamond Creek,-37.671,145.155,2
Dingley Village,-37.9757588,145.1226002,1
Doncaster East,-37.7891081,145.1619649,1
Donvale,-37.7963916,145.1791034,3
Doreen,-37.605,145.146,0
Edithvale,-38.037,145.113,3
Eltham,-37.715,145.158,2
Eltham North,-37.698,145.144,4
Emerald,-37.93305600000001,145.436944,4
Epping,-37.6376635,145.0264991,2
Eumemmerring,-37.999,145.247,1
Ferntree Gully,-37.8826855,145.2776105,2
Forest Hill,-37.8347413,145.1727369,4
Frankston,-38.1466246,145.135722,3
Frankston North,-38.123,145.153,4
Frankston South,-38.188,145.153,1
Gisborne,-37.48999999999999,144.588889,0
Gladstone Park,-37.6926696,144.8951801,4
Glen Waverley,-37.87435019999999,145.1668205,2
